ID,authors,title
#199,Agnieszka Przybyszewska,":
A narrative approach to ambient literature: embedded dramatic monologue and enhanced interactional
metalepsis

"
#57,Alessia Pannese,":
Platforms of contemplation in times of confinement: a philosophico-physiological reflection

"
#162,Alex Mitchell,":
Repetition and Defamiliarization in AI Dungeon and Project December

"
#149,Allegra Rosenberg,":
“Writing To Cope”: Anti-Shipping Rhetoric in Media Fandom

"
#152,Allison Parrish,":
Language models can only write poetry

"
#187,Amy Spencer,":
Amplified Publishing: Finding Audiences

"
#183,Anamarija Podrebarac,":
The Sensuality of Code; Experiencing Realm of Networked Being

"
#155,Anders Visti and Malthe Stavning Erslev,":
Aarhus Urban Operating System

"
#88,Andréa Catrópa,":
Oneirographia - The writing of dreams

"
#247,Andréa Catrópa,":
ONEIROGRAFIA - THE WRITING OF DREAMS

"
#103,Andrew Haik Demirjian,":
Spaces Speak: (RE)VERB an Emerging Space for E-Lit Creations

"
#99,Angeliki Malakasioti,":
Digital Selfhood and its Mental Spatialities: Abstracts of Textual Constructs

"
#47,"Astrid Ensslin, Kathryn Cramer, Dene Grigar and Mariusz Pisarski",":
On the “Effect(s) of Living Backwards”: A Platform-critical, Collaborative Analysis of Kathryn Cramer’s In
Small and Large Pieces

"
#246,Asun López-Varela,":
[Plat]forms of poïesis. From the Holodeck to Mez Breeze’s V[R]erses

"
#217,Ben Grosser,":
When you can’t look away: what The Endless Doomscroller reveals about the relations between users,
platforms, and interfaces during the age of pandemic.

"
#167,"Boyd Branch, Piotr Mirowski and Kory Mathewson",":
Platforms for Multilingual Tele-Immersive Storytelling and Improvisation

"
#196,"Boyd Branch, Piotr Mirowski and Kory Mathewson",":
Presently Performing Tele-Presence Pleasantly

"
#143,Bronwin Patrickson,":
What Do We Call This?

"
#105,Caitlin Fisher and Maureen Engel,":
Edge Effects: Queer Virtual Arcades

"
#104,"Christine Wilks, Astrid Ensslin, Carla Rice, Sarah Riley, Megan
Perram, Hannah Fowlie, Aly Bailey and Lauren Munro",":
Open to Construction: reading and writing bodies in digital fiction and the open web platform

25

ELO 2021 - abstracts

"
#31,Claire Fitch,":
Populated Solitude

"
#102,Clara Chetcuti,":
“Let my readers go”: Freedom, the ‘post-’, electronic ‘literature’

"
#130,"Claudia Kozak, Agustín Berti, Anahí Re and Leonardo Solaas",":
Platformization and Decolonial E-Lit. Is There Any Chance?

"
#184,"Claus-Michael Schlesinger, Mona Ulrich, Jan Hess, Andre
Blessing, Thomas Bönisch, Nina Buck, Pascal Hein, Alexander Holz,
Kerstin Jung, Roland Kamzelak, Heinz-Werner Kramski, Jonas Kuhn,
Volodymyr Kushnarenko, Björn Schembera and Gabriel Viehhauser",":
Science Data Center for Literature - Archive and Research of Net Literature and Born-Digitals

"
#192,"Claus-Michael Schlesinger, Mona Ulrich, Pascal Hein and André
Blessing",":
Networks of Net Literature - Modelling, Extracting and Visualizing Link-Based Networks in the DLA corpus
of net literature

"
#34,Colin Post,":
On the Platform’s Ruins: Practicing a Poetics of Obsolescence

"
#209,Corentin Colin,":
Hugging Pixels: How Gaming Rethinks Physical Interactions

"
#125,Dani Spinosa,":
Learning Management Platforms: Notes on Teaching “Taroko Gorge” in a Pandemic

"
#208,"Daniel Cox, Kenton Howard and Chris Klimas",":
Platform as a Service: A Roundtable Discussion of Community Labor and Platformization of Twine and
Ink

35

ELO 2021 - abstracts

"
#156,Daniel Howe,":
Scripting Observable with RiScript

"
#120,Daria Petrova,":
The Mediapoetry Laboratory 101: new forms of creative cooperation

"
#204,David Nuñez,":
WORKSHOP: INFINITE NARRATIVES WITH THE NIS SYSTEM

"
#101,David Thomas Henry Wright,":
Dystopic plagiarized platforms: found text, corrupted code, and robotic poetics.

"
#63,David Thomas Henry Wright and Chris Arnold,":
Beyond Maximalism: Resolving the Novelistic Incompatibilities of Realism, Paranoia, Omniscience, and
Encyclopedism through Electronic Literature.

"
#159,Davin Heckman,":
Gastropoetics, text generation, and the body

"
#19,Deena Larsen and Jules Chatelain,":
WritePods: Write-Reader Interaction to Engage Platforms Opening Destinations

"
#185,Devin Shepherd,":
The Tyranny of Completion; Or, How Electronic Art Can Engage the Firehose

"
#148,"Devin Shepherd, Bradley Shepherd and Will McEnery",":
Tenure Track: A Critical Simulation Game

"
#168,Diogo Marques and Ana Gago,":
Language |H|as a Virus:  from figure of thought to experimental laboratory

"
#151,Eleonora Acerra and Nathalie Lacelle,":
Lab-yrinthe: an online laboratory for observing childrens’s e-lit and accompanying digital literacy

"
#90,Elliott Hedman,":
Motivating Struggling Readers to Mentally “Show Up” with Wonder Stories

"
#139,Erik Loyer,":
Creating Story Instruments with Stepworks 2

"
#212,Erik Zepka,":
The Ecology of Platforms: Early Modern Histories of Physics and Sociotechnical Expression

"
#210,Erin Kathleen Bahl,":
Botanicals: An E-Literary Approach to Cultivating Pedagogical Platforms

"
#231,Fernanda Mugica,":
Appropriationist practices and subjectivation / desubjectivation processes: some productions of Argentine
digital literature in times of algorithmic governance

"
